"countryname","countrycode","regionname","regioncode","jurisdiction","date","c1_school.closing","c1_flag","c2_workplace.closing","c2_flag","c3_cancel.public.events","c3_flag","c4_restrictions.on.gatherings","c4_flag","c5_close.public.transport","c5_flag","c6_stay.at.home.requirements","c6_flag","c7_restrictions.on.internal.movement","c7_flag","c8_international.travel.controls","e1_income.support","e1_flag","e2_debt.contract.relief","e3_fiscal.measures","e4_international.support","h1_public.information.campaigns","h1_flag","h2_testing.policy","h3_contact.tracing","h4_emergency.investment.in.healthcare","h5_investment.in.vaccines","h6_facial.coverings","h6_flag","h7_vaccination.policy","h7_flag","m1_wildcard","confirmedcases","confirmeddeaths","stringencyindex","stringencyindexfordisplay","stringencylegacyindex","stringencylegacyindexfordisplay","governmentresponseindex","governmentresponseindexfordisplay","containmenthealthindex","containmenthealthindexfordisplay","economicsupportindex","economicsupportindexfordisplay","cases","deaths","avgcases7days","avgdeaths7days","population","iso2","ccfr_date","ccfr_countrycode","ccfr_population","ccfr_cases","ccfr_deaths","ccfr_cum_cases","ccfr_cum_deaths","ccfr_cases_infected","ccfr_cases_infected_low","ccfr_cases_infected_high","ccfr_cases_daily","ccfr_cases_contagious","ccfr_cases_active","ccfr_p_cases_infected","ccfr_p_cases_infected_low","ccfr_p_cases_infected_high","ccfr_p_cases_daily","ccfr_p_cases_contagious","ccfr_p_cases_active"
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-01,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,55980000,"UK_ENG","2020/01/01","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-02,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/02","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-03,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/03","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-04,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/04","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-05,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/05","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-06,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/06","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-07,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/07","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-08,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/08","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-09,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/09","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-10,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/10","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-11,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/11","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-12,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/12","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-13,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/13","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-14,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/14","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-15,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/15","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-16,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/16","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"United Kingdom","GBR","England","UK_ENG","STATE_TOTAL",2020-01-17,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,55980000,"UK_ENG","2020/01/17","GB",66647112,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
