"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"RS","Serbia","","","","",NA,"2020-04-11",-96,-97,-83,-91,-81,26
"RS","Serbia","","","","",NA,"2020-04-12",-96,-97,-82,-91,-75,21
"RS","Serbia","","","","",NA,"2020-04-13",-50,-18,-29,-57,-54,17
"RS","Serbia","","","","",NA,"2020-04-14",-58,-19,-49,-66,-58,21
"RS","Serbia","","","","",NA,"2020-04-15",-53,-10,-31,-60,-58,19
"RS","Serbia","","","","",NA,"2020-04-16",-51,-9,-21,-56,-58,18
"RS","Serbia","","","","",NA,"2020-04-17",-57,-9,-22,-60,-76,23
"RS","Serbia","","","","",NA,"2020-04-18",-96,-97,-81,-92,-83,26
"RS","Serbia","","","","",NA,"2020-04-19",-96,-97,-81,-92,-77,21
"RS","Serbia","","","","",NA,"2020-04-20",-96,-96,-79,-93,-90,35
"RS","Serbia","","","","",NA,"2020-04-21",-51,-19,-29,-59,-53,15
"RS","Serbia","","","","",NA,"2020-04-22",-53,-23,-17,-59,-55,17
"RS","Serbia","","","","",NA,"2020-04-23",-52,-23,-13,-57,-54,17
"RS","Serbia","","","","",NA,"2020-04-24",-46,5,-13,-51,-53,14
"RS","Serbia","","","","",NA,"2020-04-25",-96,-96,-80,-90,-78,25
"RS","Serbia","","","","",NA,"2020-04-26",-95,-96,-78,-90,-72,20
"RS","Serbia","","","","",NA,"2020-04-27",-37,-7,-5,-47,-44,12
"RS","Serbia","","","","",NA,"2020-04-28",-40,-7,1,-52,-47,13
"RS","Serbia","","","","",NA,"2020-04-29",-44,-1,-12,-53,-50,14
"RS","Serbia","","","","",NA,"2020-04-30",-40,7,0,-46,-50,10
"RS","Serbia","","","","",NA,"2020-05-01",-96,-96,-75,-92,-91,37
"RS","Serbia","","","","",NA,"2020-05-02",-70,-48,-50,-67,-52,14
"RS","Serbia","","","","",NA,"2020-05-03",-66,-44,-24,-63,-38,9
"RS","Serbia","","","","",NA,"2020-05-04",-40,-27,-21,-56,-41,12
"RS","Serbia","","","","",NA,"2020-05-05",-38,-18,-8,-55,-44,13
"RS","Serbia","","","","",NA,"2020-05-06",-46,-21,-29,-59,-51,15
"RS","Serbia","","","","",NA,"2020-05-07",-27,-13,18,-45,-42,9
"RS","Serbia","","","","",NA,"2020-05-08",-22,-5,14,-41,-40,9
"RS","Serbia","","","","",NA,"2020-05-09",-24,-13,28,-30,-22,1
"RS","Serbia","","","","",NA,"2020-05-10",-23,-14,41,-32,-17,-1
"RS","Serbia","","","","",NA,"2020-05-11",-10,-7,14,-32,-27,5
"RS","Serbia","","","","",NA,"2020-05-12",-10,1,7,-33,-32,7
"RS","Serbia","","","","",NA,"2020-05-13",-14,-6,29,-33,-33,5
"RS","Serbia","","","","",NA,"2020-05-14",-18,-8,9,-33,-34,5
"RS","Serbia","","","","",NA,"2020-05-15",-18,-7,10,-32,-33,5
"RS","Serbia","","","","",NA,"2020-05-16",-18,-11,21,-21,-18,0
"RS","Serbia","","","","",NA,"2020-05-17",-23,-13,11,-29,-14,0
"RS","Serbia","","","","",NA,"2020-05-18",-7,-7,13,-26,-23,4
"RS","Serbia","","","","",NA,"2020-07-03",-13,2,15,-21,-27,4
"RS","Serbia","","","","",NA,"2020-07-04",-11,-1,35,-12,-10,-1
"RS","Serbia","","","","",NA,"2020-07-05",-10,1,50,-15,-2,-2
"RS","Serbia","","","","",NA,"2020-07-06",2,7,35,-14,-22,2
"RS","Serbia","","","","",NA,"2020-07-07",0,17,29,-18,-28,4
"RS","Serbia","","","","",NA,"2020-07-08",-7,10,56,-18,-29,3
"RS","Serbia","","","","",NA,"2020-07-09",-7,6,47,-17,-30,3
"RS","Serbia","","","","",NA,"2020-07-10",-14,3,30,-23,-30,4
"RS","Serbia","","","","",NA,"2020-07-11",-22,-8,34,-20,-14,0
"RS","Serbia","","","","",NA,"2020-07-12",-20,0,22,-25,-8,0
"RS","Serbia","","","","",NA,"2020-07-13",-1,3,33,-18,-24,3
"RS","Serbia","","","","",NA,"2020-07-14",-2,7,52,-19,-28,3
"RS","Serbia","","","","",NA,"2020-07-15",-8,5,50,-22,-30,3
"RS","Serbia","","","","",NA,"2020-07-16",-9,3,44,-21,-30,4
"RS","Serbia","","","","",NA,"2020-07-17",-27,-8,-15,-32,-32,8
"RS","Serbia","","","","",NA,"2020-07-18",-22,-5,8,-22,-13,3
"RS","Serbia","","","","",NA,"2020-07-19",-23,-6,14,-27,-8,2
"RS","Serbia","","","","",NA,"2020-07-20",0,4,41,-18,-24,3
"RS","Serbia","","","","",NA,"2020-07-21",1,9,65,-20,-29,3
"RS","Serbia","","","","",NA,"2020-07-22",-9,1,60,-24,-31,3
"RS","Serbia","","","","",NA,"2020-07-23",-13,-2,36,-24,-32,4
"RS","Serbia","","","","",NA,"2020-07-24",-15,-2,31,-26,-31,5
"RS","Serbia","","","","",NA,"2020-07-25",-25,-9,7,-23,-14,2
"RS","Serbia","","","","",NA,"2020-07-26",-15,-3,43,-21,-6,-1
"RS","Serbia","","","","",NA,"2020-07-27",0,0,46,-18,-25,3
"RS","Serbia","","","","",NA,"2020-07-28",-1,3,67,-21,-29,3
"RS","Serbia","","","","",NA,"2020-07-29",-9,-1,65,-23,-32,3
"RS","Serbia","","","","",NA,"2020-07-30",-6,1,63,-21,-33,3
"RS","Serbia","","","","",NA,"2020-07-31",-16,-4,37,-26,-33,4
"RS","Serbia","","","","",NA,"2020-08-01",-16,-7,52,-16,-15,-2
"RS","Serbia","","","","",NA,"2020-08-02",-7,1,83,-14,-8,-5
"RS","Serbia","","","","",NA,"2020-08-03",1,0,53,-19,-26,2
"RS","Serbia","","","","",NA,"2020-08-04",0,9,49,-21,-31,3
"RS","Serbia","","","","",NA,"2020-08-05",-12,2,7,-29,-35,6
"RS","Serbia","","","","",NA,"2020-08-06",-1,7,53,-18,-33,3
"RS","Serbia","","","","",NA,"2020-08-07",-13,-1,23,-26,-33,3
"RS","Serbia","","","","",NA,"2020-08-08",-11,-4,49,-13,-15,-2
"RS","Serbia","","","","",NA,"2020-08-09",-9,-3,62,-17,-7,-4
"RS","Serbia","","","","",NA,"2020-08-10",7,6,58,-16,-26,1
"RS","Serbia","","","","",NA,"2020-08-11",7,10,78,-18,-30,1
"RS","Serbia","","","","",NA,"2020-08-12",1,8,74,-18,-33,1
"RS","Serbia","","","","",NA,"2020-08-13",1,4,77,-16,-33,1
"RS","Serbia","","","","",NA,"2020-08-14",-7,2,46,-21,-33,2
"RS","Serbia","","","","",NA,"2020-08-15",-13,-5,32,-14,-16,-2
"RS","Serbia","","","","",NA,"2020-08-16",-3,1,63,-12,-6,-5
"RS","Serbia","","","","",NA,"2020-08-17",7,5,55,-14,-25,0
"RS","Serbia","","","","",NA,"2020-08-18",-4,3,30,-23,-29,3
"RS","Serbia","","","","",NA,"2020-08-19",5,14,62,-16,-31,1
"RS","Serbia","","","","",NA,"2020-08-20",1,2,68,-15,-32,0
"RS","Serbia","","","","",NA,"2020-08-21",-5,2,52,-18,-32,1
"RS","Serbia","","","","",NA,"2020-08-22",-10,-8,62,-9,-14,-5
"RS","Serbia","","","","",NA,"2020-08-23",-4,-2,73,-9,-5,-7
"RS","Serbia","","","","",NA,"2020-08-24",6,4,46,-12,-22,0
"RS","Serbia","","","","",NA,"2020-08-25",3,9,38,-18,-27,2
"RS","Serbia","","","","",NA,"2020-08-26",3,8,67,-14,-28,0
"RS","Serbia","","","","",NA,"2020-08-27",1,4,64,-12,-28,0
"RS","Serbia","","","","",NA,"2020-08-28",-1,7,53,-13,-29,-1
"RS","Serbia","","","","",NA,"2020-08-29",-11,-10,54,-9,-12,-5
"RS","Serbia","","","","",NA,"2020-08-30",-6,-4,65,-9,-5,-7
"RS","Serbia","","","","",NA,"2020-08-31",9,8,39,-8,-19,-1
"RS","Serbia","","","","",NA,"2020-09-01",9,17,42,-7,-23,0
"RS","Serbia","","","","",NA,"2020-09-02",3,13,51,-9,-25,0
"RS","Serbia","","","","",NA,"2020-09-03",0,6,45,-9,-26,0
"RS","Serbia","","","","",NA,"2020-09-04",-2,7,37,-10,-25,0
"RS","Serbia","","","","",NA,"2020-09-05",-5,-2,51,-5,-11,-4
"RS","Serbia","","","","",NA,"2020-09-06",-2,3,64,-6,-5,-5
"RS","Serbia","","","","",NA,"2020-09-07",6,7,36,-6,-19,-1
"RS","Serbia","","","","",NA,"2020-09-08",7,14,50,-7,-22,-1
"RS","Serbia","","","","",NA,"2020-09-09",1,10,54,-9,-24,-2
"RS","Serbia","","","","",NA,"2020-09-10",3,11,56,-6,-25,-2
"RS","Serbia","","","","",NA,"2020-09-11",0,13,45,-8,-25,-3
"RS","Serbia","","","","",NA,"2020-09-12",-6,-1,52,-4,-12,-6
"RS","Serbia","","","","",NA,"2020-09-13",-3,2,65,-4,-6,-8
"RS","Serbia","","","","",NA,"2020-09-14",5,4,38,-6,-14,-3
"RS","Serbia","","","","",NA,"2020-09-15",7,14,51,-5,-18,-2
"RS","Serbia","","","","",NA,"2020-09-16",-1,8,51,-9,-22,-2
"RS","Serbia","","","","",NA,"2020-09-17",-1,3,49,-8,-23,-2
"RS","Serbia","","","","",NA,"2020-09-18",-6,4,29,-10,-23,-1
"RS","Serbia","","","","",NA,"2020-09-19",-6,-1,46,-2,-11,-5
"RS","Serbia","","","","",NA,"2020-09-20",-3,3,56,-4,-5,-5
"RS","Serbia","","","","",NA,"2020-09-21",9,12,35,-3,-15,-2
"RS","Serbia","","","","",NA,"2020-09-22",2,13,38,-6,-18,-2
"RS","Serbia","","","","",NA,"2020-09-23",-6,9,28,-8,-21,-1
"RS","Serbia","","","","",NA,"2020-09-24",-5,5,34,-5,-21,-1
"RS","Serbia","","","","",NA,"2020-09-25",-11,5,9,-9,-21,0
"RS","Serbia","","","","",NA,"2020-09-26",-15,-2,0,-9,-11,-2
"RS","Serbia","","","","",NA,"2020-09-27",-7,9,26,-6,-6,-2
"RS","Serbia","","","","",NA,"2020-09-28",-4,4,-2,-6,-11,0
"RS","Serbia","","","","",NA,"2020-09-29",-3,12,4,-6,-15,0
"RS","Serbia","","","","",NA,"2020-09-30",-8,10,0,-7,-19,0
"RS","Serbia","","","","",NA,"2020-10-01",-5,11,8,-4,-18,-1
"RS","Serbia","","","","",NA,"2020-10-02",-3,12,25,3,-17,-3
"RS","Serbia","","","","",NA,"2020-10-03",-5,1,36,7,-10,-6
"RS","Serbia","","","","",NA,"2020-10-04",-2,4,43,4,-6,-5
"RS","Serbia","","","","",NA,"2020-10-05",2,11,13,7,-10,-2
"RS","Serbia","","","","",NA,"2020-10-06",4,19,22,4,-14,-2
"RS","Serbia","","","","",NA,"2020-10-07",-9,7,3,-2,-17,-1
"RS","Serbia","","","","",NA,"2020-10-08",-8,8,0,-5,-18,1
"RS","Serbia","","","","",NA,"2020-10-09",-4,12,18,1,-17,-2
"RS","Serbia","","","","",NA,"2020-10-10",-5,6,31,5,-9,-4
"RS","Serbia","","","","",NA,"2020-10-11",-5,6,37,1,-6,-4
"RS","Serbia","","","","",NA,"2020-10-12",-9,1,-16,-2,-11,1
"RS","Serbia","","","","",NA,"2020-10-13",-6,10,-10,-8,-14,2
"RS","Serbia","","","","",NA,"2020-10-14",-1,16,21,1,-15,-1
"RS","Serbia","","","","",NA,"2020-10-15",-10,6,-8,-5,-16,1
"RS","Serbia","","","","",NA,"2020-10-16",-9,13,-7,-4,-16,0
"RS","Serbia","","","","",NA,"2020-10-17",-13,2,-9,-9,-10,-1
"RS","Serbia","","","","",NA,"2020-10-18",-11,4,11,-8,-8,-2
"RS","Serbia","","","","",NA,"2020-10-19",-2,10,-3,-1,-8,0
"RS","Serbia","","","","",NA,"2020-10-20",0,17,12,-2,-12,-1
"RS","Serbia","","","","",NA,"2020-10-21",-5,16,18,-3,-15,-1
"RS","Serbia","","","","",NA,"2020-10-22",-4,13,24,1,-15,-1
"RS","Serbia","","","","",NA,"2020-10-23",-7,13,18,-2,-15,-1
"RS","Serbia","","","","",NA,"2020-10-24",-17,2,-2,-5,-9,-1
"RS","Serbia","","","","",NA,"2020-10-25",-15,9,-2,-9,-7,-1
"RS","Serbia","","","","",NA,"2020-10-26",-1,14,9,2,-7,0
"RS","Serbia","","","","",NA,"2020-10-27",1,21,27,1,-13,-1
"RS","Serbia","","","","",NA,"2020-10-28",-11,8,9,-6,-15,0
"RS","Serbia","","","","",NA,"2020-10-29",-11,6,3,-7,-15,1
"RS","Serbia","","","","",NA,"2020-10-30",-13,9,-2,-9,-16,1
"RS","Serbia","","","","",NA,"2020-10-31",-20,1,-11,-14,-12,0
"RS","Serbia","","","","",NA,"2020-11-01",-16,2,21,-11,-9,-2
"RS","Serbia","","","","",NA,"2020-11-02",-7,8,-3,-5,-9,1
"RS","Serbia","","","","",NA,"2020-11-03",-5,15,10,-6,-13,1
"RS","Serbia","","","","",NA,"2020-11-04",-13,10,-1,-11,-17,2
"RS","Serbia","","","","",NA,"2020-11-05",-17,5,-14,-13,-18,3
"RS","Serbia","","","","",NA,"2020-11-06",-17,10,-10,-14,-18,2
"RS","Serbia","","","","",NA,"2020-11-07",-18,2,6,-8,-13,0
"RS","Serbia","","","","",NA,"2020-11-08",-19,2,12,-14,-11,0
"RS","Serbia","","","","",NA,"2020-11-09",-15,1,-22,-15,-12,3
"RS","Serbia","","","","",NA,"2020-11-10",-8,17,-8,-12,-16,2
"RS","Serbia","","","","",NA,"2020-11-11",-19,3,-2,-31,-55,10
"RS","Serbia","","","","",NA,"2020-11-12",-17,6,-6,-19,-28,4
"RS","Serbia","","","","",NA,"2020-11-13",-21,6,-16,-23,-29,6
"RS","Serbia","","","","",NA,"2020-11-14",-24,-1,-9,-17,-14,2
"RS","Serbia","","","","",NA,"2020-11-15",-26,-2,-2,-20,-15,1
"RS","Serbia","","","","",NA,"2020-11-16",-15,6,-11,-14,-16,3
"RS","Serbia","","","","",NA,"2020-11-17",-21,4,-21,-21,-19,5
"RS","Serbia","","","","",NA,"2020-11-18",-22,7,-11,-20,-22,5
"RS","Serbia","","","","",NA,"2020-11-19",-22,4,-7,-18,-23,5
"RS","Serbia","","","","",NA,"2020-11-20",-29,6,-29,-25,-25,7
"RS","Serbia","","","","",NA,"2020-11-21",-36,-6,-31,-30,-23,5
"RS","Serbia","","","","",NA,"2020-11-22",-37,-10,-22,-30,-20,4
"RS","Serbia","","","","",NA,"2020-11-23",-20,1,-22,-21,-17,5
"RS","Serbia","","","","",NA,"2020-11-24",-28,3,-20,-25,-23,7
"RS","Serbia","","","","",NA,"2020-11-25",-29,3,-15,-25,-26,7
"RS","Serbia","","","","",NA,"2020-11-26",-31,-3,-25,-27,-27,8
"RS","Serbia","","","","",NA,"2020-11-27",-30,1,-30,-30,-27,8
"RS","Serbia","","","","",NA,"2020-11-28",-38,-8,-32,-31,-20,6
"RS","Serbia","","","","",NA,"2020-11-29",-40,-9,-30,-35,-22,5
"RS","Serbia","","","","",NA,"2020-11-30",-28,-2,-29,-29,-26,8
"RS","Serbia","","","","",NA,"2020-12-01",-27,6,-23,-29,-29,8
"RS","Serbia","","","","",NA,"2020-12-02",-32,3,-26,-33,-32,9
"RS","Serbia","","","","",NA,"2020-12-03",-34,-2,-30,-34,-33,10
"RS","Serbia","","","","",NA,"2020-12-04",-36,5,-32,-35,-33,10
"RS","Serbia","","","","",NA,"2020-12-05",-58,-9,-10,-33,-32,7
"RS","Serbia","","","","",NA,"2020-12-06",-61,-13,-11,-36,-32,6
"RS","Serbia","","","","",NA,"2020-12-07",-30,-4,-39,-33,-27,9
"RS","Serbia","","","","",NA,"2020-12-08",-27,7,-21,-31,-29,8
"RS","Serbia","","","","",NA,"2020-12-09",-36,-4,-31,-38,-34,9
"RS","Serbia","","","","",NA,"2020-12-10",-30,6,-11,-29,-33,8
"RS","Serbia","","","","",NA,"2020-12-11",-34,4,-25,-32,-33,9
"RS","Serbia","","","","",NA,"2020-12-12",-57,-7,-14,-33,-31,7
"RS","Serbia","","","","",NA,"2020-12-13",-62,-12,-20,-37,-33,6
"RS","Serbia","","","","",NA,"2020-12-14",-24,3,-25,-26,-25,7
"RS","Serbia","","","","",NA,"2020-12-15",-23,12,-13,-27,-29,7
"RS","Serbia","","","","",NA,"2020-12-16",-26,10,-6,-27,-31,7
"RS","Serbia","","","","",NA,"2020-12-17",-27,7,-12,-26,-32,7
"RS","Serbia","","","","",NA,"2020-12-18",-30,10,-20,-28,-33,8
