"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-04",-46,-17,5,-42,-21,11
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-05",-42,-15,21,-33,-22,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-06",-25,-14,39,-57,-45,14
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-07",-25,-8,54,-55,-46,15
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-08",-28,-9,65,-53,-43,13
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-09",-29,0,39,-57,-45,15
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-10",-32,-2,14,-54,-52,16
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-11",-38,1,26,-32,-18,10
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-12",-61,-69,27,-33,-22,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-13",-54,-52,31,-68,-83,24
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-14",-31,-10,19,-57,-44,15
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-15",-30,-11,54,-53,-41,13
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-16",-31,-9,48,-54,-42,15
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-17",-33,-9,15,-53,-39,14
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-18",-38,-9,34,-34,-13,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-19",-37,-14,46,-33,-14,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-20",-21,-9,45,-56,-41,13
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-21",-22,-4,60,-55,-42,14
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-22",-26,-7,77,-52,-39,12
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-23",-25,-1,71,-52,-40,13
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-24",-27,-2,35,-50,-39,13
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-25",-31,-1,41,-36,-11,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-26",-25,1,68,-28,-13,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-27",-16,-13,153,-57,-77,19
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-28",-21,0,44,-56,-43,12
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-29",-25,-4,60,-55,-40,12
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-04-30",-27,-3,46,-55,-41,14
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-01",-33,-8,1,-55,-38,14
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-02",-35,-5,14,-40,-11,10
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-03",-31,-9,69,-28,-11,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-04",-7,-2,88,-56,-48,14
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-05",-21,-6,162,-57,-68,18
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-06",-16,0,109,-43,-35,10
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-07",-19,4,103,-46,-37,12
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-08",-21,5,73,-40,-34,10
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-09",-25,8,90,-14,-3,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-10",-36,-6,18,-22,6,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-11",-18,-5,32,-50,-34,12
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-12",-18,-2,36,-49,-34,12
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-13",-21,-3,51,-48,-32,11
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-14",-23,0,50,-47,-33,11
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-15",-24,-2,34,-43,-30,10
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-16",-28,-3,58,-25,0,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-17",-25,-4,80,-21,-2,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-18",-10,-3,79,-45,-32,10
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-19",-8,3,98,-41,-32,10
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-20",1,24,209,-35,-30,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-21",-30,-12,323,-44,-77,17
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-22",-7,11,118,-41,-52,14
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-23",-20,2,121,-19,2,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-24",-31,-4,20,-31,-1,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-25",-2,3,99,-42,-32,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-26",3,7,134,-39,-31,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-27",-4,5,129,-37,-28,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-28",-8,9,112,-37,-29,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-29",-10,9,132,-33,-27,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-30",-17,15,160,-8,15,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-05-31",-29,-41,165,-5,8,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-01",11,-16,313,-39,-75,14
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-02",8,13,196,-32,-28,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-03",2,5,155,-33,-26,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-04",-9,6,62,-44,-28,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-05",-16,-1,33,-39,-25,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-06",-13,3,59,-23,13,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-07",-20,-6,26,-41,7,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-08",2,3,119,-43,-28,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-09",7,8,143,-39,-28,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-10",1,5,152,-39,-26,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-11",-2,7,104,-41,-27,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-12",1,3,135,-34,-24,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-13",-13,-1,131,-19,14,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-14",-11,-3,73,-31,13,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-15",5,7,150,-43,-28,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-16",15,9,192,-35,-28,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-17",9,5,195,-36,-26,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-18",2,7,119,-39,-27,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-19",3,5,139,-33,-24,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-20",-1,10,163,-12,17,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-21",11,0,NA,-12,29,-1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-22",16,11,211,-35,-29,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-23",25,16,258,-33,-29,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-24",16,11,264,-30,-26,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-25",11,11,224,-35,-28,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-26",4,3,195,-33,-27,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-27",-10,0,138,-22,11,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-28",27,8,119,-17,19,0
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-29",13,8,174,-38,-28,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-06-30",17,11,150,-40,-27,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-01",18,6,195,-32,-25,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-02",13,8,152,-35,-27,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-03",10,3,166,-30,-25,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-04",-10,-1,118,-15,7,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-05",-1,-1,98,-10,11,1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-06",15,8,235,-35,-36,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-07",26,11,284,-33,-36,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-08",14,3,245,-37,-34,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-09",0,-1,136,-47,-36,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-10",3,2,163,-38,-33,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-11",-6,-2,203,-13,9,1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-12",29,4,201,-5,11,-1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-13",26,10,377,-36,-39,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-14",21,11,282,-42,-40,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-15",21,6,354,-35,-35,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-16",19,11,304,-38,-38,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-17",12,2,263,-35,-37,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-18",-4,1,296,-8,7,-1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-19",28,14,234,-3,11,-2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-20",36,21,NA,-40,-47,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-21",47,20,488,-36,-47,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-22",31,10,470,-33,-45,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-23",28,13,409,-38,-46,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-24",16,8,288,-39,-44,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-25",-4,2,266,-15,1,1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-26",47,18,238,-2,12,-1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-27",35,19,NA,-46,-51,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-28",47,21,488,-36,-50,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-29",35,12,494,-34,-48,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-30",32,16,454,-36,-49,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-07-31",10,3,NA,-30,-48,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-01",-5,0,334,4,0,1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-02",32,14,NA,11,9,-1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-03",37,18,445,-41,-49,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-04",56,22,555,-34,-49,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-05",36,14,559,-27,-47,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-06",22,15,459,-42,-49,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-07",4,4,337,-40,-47,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-08",-16,0,320,-19,-1,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-09",23,13,NA,-11,9,-1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-10",29,19,NA,-44,-43,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-11",33,18,494,-41,-43,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-12",20,9,462,-40,-41,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-13",15,8,360,-41,-41,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-14",11,3,246,-36,-38,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-15",1,4,233,-12,7,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-16",30,12,NA,-8,14,0
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-17",25,15,NA,-38,-32,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-18",33,14,NA,-29,-28,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-19",26,9,NA,-26,-27,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-20",19,9,NA,-31,-29,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-21",13,5,NA,-16,-26,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-22",-1,1,NA,NA,9,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-23",16,8,NA,NA,NA,1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-24",20,11,NA,-36,-28,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-25",22,10,NA,-34,-27,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-26",7,-1,NA,-36,-25,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-27",19,7,NA,-29,-24,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-28",5,2,NA,-34,-22,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-29",0,1,NA,NA,9,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-30",NA,5,NA,NA,NA,1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-08-31",15,8,NA,-29,-26,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-01",21,7,NA,-22,-25,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-02",21,1,NA,-21,-23,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-03",-4,-5,NA,-33,-26,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-04",9,3,NA,-23,-22,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-05",1,-2,NA,NA,6,1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-06",16,2,NA,NA,NA,0
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-07",14,6,NA,-25,-26,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-08",16,4,NA,-28,-25,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-09",8,-1,NA,-28,-22,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-10",13,1,NA,-23,-24,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-11",8,3,179,-19,-21,1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-12",-1,-1,182,6,8,0
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-13",32,5,172,33,10,-2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-14",18,7,255,-21,-22,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-15",22,4,282,-20,-20,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-16",12,2,252,-18,-19,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-17",9,0,194,-23,-21,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-18",5,1,161,-23,-18,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-19",2,-3,189,-12,5,0
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-20",40,6,162,4,11,-2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-21",16,6,207,-26,-22,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-22",21,5,214,-21,-20,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-23",6,4,152,-25,-16,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-24",5,4,105,-31,-19,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-25",2,4,86,-27,-16,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-26",-1,0,99,-24,8,2
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-27",19,2,61,-17,9,1
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-28",2,5,92,-34,-18,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-29",0,0,85,-34,-17,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-09-30",4,3,126,-30,-19,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-01",-4,0,65,-35,-21,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-02",-4,3,76,-28,-17,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-03",-11,-2,61,-28,3,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-04",-6,0,45,-26,5,3
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-05",-5,-1,76,-35,-23,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-06",-3,-2,69,-35,-22,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-07",-7,-3,87,-35,-19,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-08",-17,-10,19,-42,-22,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-09",-9,0,65,-32,-18,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-10",-18,-7,45,-33,3,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-11",-25,-15,0,-38,0,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-12",6,1,133,-47,-40,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-13",12,0,159,-44,-38,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-14",0,-5,137,-44,-36,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-15",-15,-3,107,-46,-40,11
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-16",-20,-3,89,-39,-38,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-17",-27,-5,98,-25,-2,6
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-18",-32,-9,60,-21,-2,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-19",-10,0,120,-35,-25,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-20",-10,2,103,-39,-23,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-21",-16,-3,82,-36,-21,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-22",-15,1,96,-34,-23,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-23",-18,3,64,-33,-18,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-24",-25,-2,57,-28,1,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-25",-30,-6,12,-33,2,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-26",-9,1,62,-36,-22,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-27",-12,0,57,-38,-21,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-28",-17,0,54,-37,-19,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-29",-20,-1,30,-40,-22,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-30",-26,-4,0,-38,-19,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-10-31",-25,-2,46,-33,-1,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-01",-36,-9,19,-32,-5,5
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-02",-16,-4,35,-38,-22,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-03",-13,-2,59,-37,-20,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-04",-18,-3,63,-35,-18,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-05",-24,-3,31,-39,-22,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-06",-26,0,27,-36,-18,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-07",-29,-2,60,-33,-3,7
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-08",-29,-1,79,-22,-4,4
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-09",-16,-3,32,-41,-23,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-10",-16,0,31,-40,-22,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-11",-18,4,40,-37,-18,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-12",-24,-7,19,-40,-22,9
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-13",-25,-1,11,-36,-17,8
"NL","Netherlands","Drenthe","","","NL_DR",NA,"2020-11-14",-30,-3,12,-39,-5,8
