"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"JO","Jordan","","","","",NA,"2020-03-19",-60,-33,-56,-87,-63,27
"JO","Jordan","","","","",NA,"2020-03-20",-29,20,-42,-85,-32,11
"JO","Jordan","","","","",NA,"2020-03-21",-87,-82,-75,-94,-78,28
"JO","Jordan","","","","",NA,"2020-03-22",-91,-86,-74,-91,-82,33
"JO","Jordan","","","","",NA,"2020-03-23",-91,-84,-74,-91,-82,32
"JO","Jordan","","","","",NA,"2020-03-24",-82,-67,-66,-88,-79,30
"JO","Jordan","","","","",NA,"2020-03-25",-64,-29,-52,-87,-73,24
"JO","Jordan","","","","",NA,"2020-03-26",-66,-33,-57,-88,-72,29
"JO","Jordan","","","","",NA,"2020-03-27",-70,-40,-58,-89,-44,16
"JO","Jordan","","","","",NA,"2020-03-28",-76,-55,-61,-90,-67,24
"JO","Jordan","","","","",NA,"2020-03-29",-74,-52,-59,-89,-73,27
"JO","Jordan","","","","",NA,"2020-03-30",-73,-49,-58,-88,-71,25
"JO","Jordan","","","","",NA,"2020-03-31",-73,-49,-57,-89,-71,27
"JO","Jordan","","","","",NA,"2020-04-01",-70,-46,-59,-88,-71,27
"JO","Jordan","","","","",NA,"2020-04-02",-69,-41,-59,-90,-69,30
"JO","Jordan","","","","",NA,"2020-04-03",-91,-84,-74,-94,-62,21
"JO","Jordan","","","","",NA,"2020-04-04",-71,-45,-56,-91,-63,22
"JO","Jordan","","","","",NA,"2020-04-05",-69,-44,-56,-88,-70,27
"JO","Jordan","","","","",NA,"2020-04-06",-71,-46,-61,-89,-70,27
"JO","Jordan","","","","",NA,"2020-04-07",-70,-44,-58,-89,-70,27
"JO","Jordan","","","","",NA,"2020-04-08",-70,-45,-58,-88,-70,26
"JO","Jordan","","","","",NA,"2020-04-09",-65,-33,-58,-89,-69,29
"JO","Jordan","","","","",NA,"2020-04-10",-92,-86,-77,-94,-66,23
"JO","Jordan","","","","",NA,"2020-04-11",-93,-89,-78,-95,-81,31
"JO","Jordan","","","","",NA,"2020-04-12",-63,-33,-51,-87,-68,25
"JO","Jordan","","","","",NA,"2020-04-13",-68,-41,-57,-88,-68,26
"JO","Jordan","","","","",NA,"2020-04-14",-69,-41,-55,-87,-67,25
"JO","Jordan","","","","",NA,"2020-04-15",-63,-33,-52,-87,-66,24
"JO","Jordan","","","","",NA,"2020-04-16",-63,-29,-54,-88,-64,27
"JO","Jordan","","","","",NA,"2020-04-17",-92,-85,-76,-95,-63,22
"JO","Jordan","","","","",NA,"2020-04-18",-93,-88,-78,-95,-79,30
"JO","Jordan","","","","",NA,"2020-04-19",-59,-31,-45,-84,-63,22
"JO","Jordan","","","","",NA,"2020-04-20",-63,-36,-51,-85,-64,23
"JO","Jordan","","","","",NA,"2020-04-21",-59,-31,-48,-82,-61,22
"JO","Jordan","","","","",NA,"2020-04-22",-53,-23,-41,-83,-59,20
"JO","Jordan","","","","",NA,"2020-04-23",-50,-19,-43,-84,-56,23
"JO","Jordan","","","","",NA,"2020-04-24",-92,-86,-76,-93,-63,23
"JO","Jordan","","","","",NA,"2020-04-25",-54,-29,-47,-88,-52,20
"JO","Jordan","","","","",NA,"2020-04-26",-55,-32,-46,-85,-58,23
"JO","Jordan","","","","",NA,"2020-04-27",-56,-34,-50,-86,-56,23
"JO","Jordan","","","","",NA,"2020-04-28",-56,-35,-48,-85,-55,22
"JO","Jordan","","","","",NA,"2020-04-29",-45,-22,-39,-83,-50,19
"JO","Jordan","","","","",NA,"2020-04-30",-45,-20,-44,-84,-48,21
"JO","Jordan","","","","",NA,"2020-05-01",-91,-85,-76,-94,-61,22
"JO","Jordan","","","","",NA,"2020-05-02",-40,-17,-35,-85,-36,13
"JO","Jordan","","","","",NA,"2020-05-03",-41,-20,-35,-82,-45,17
"JO","Jordan","","","","",NA,"2020-05-04",-43,-22,-40,-82,-45,17
"JO","Jordan","","","","",NA,"2020-05-05",-46,-26,-43,-80,-46,19
"JO","Jordan","","","","",NA,"2020-05-06",-41,-20,-39,-78,-43,18
"JO","Jordan","","","","",NA,"2020-05-07",-39,-13,-39,-79,-41,18
"JO","Jordan","","","","",NA,"2020-05-08",-91,-84,-75,-93,-60,22
"JO","Jordan","","","","",NA,"2020-05-09",-37,-14,-36,-84,-31,13
"JO","Jordan","","","","",NA,"2020-05-10",-37,-16,-33,-81,-39,16
"JO","Jordan","","","","",NA,"2020-05-11",-40,-18,-38,-80,-40,16
"JO","Jordan","","","","",NA,"2020-05-12",-37,-15,-35,-80,-39,16
"JO","Jordan","","","","",NA,"2020-05-13",-37,-15,-34,-80,-38,15
"JO","Jordan","","","","",NA,"2020-05-14",-39,-13,-38,-81,-38,16
"JO","Jordan","","","","",NA,"2020-05-15",-91,-83,-74,-89,-58,21
"JO","Jordan","","","","",NA,"2020-05-16",-33,-9,-32,-80,-28,10
"JO","Jordan","","","","",NA,"2020-05-17",-35,-13,-32,-76,-38,15
"JO","Jordan","","","","",NA,"2020-05-18",-35,-12,-37,-78,-38,15
"JO","Jordan","","","","",NA,"2020-05-19",-31,-7,-31,-77,-38,14
"JO","Jordan","","","","",NA,"2020-05-20",-9,19,-17,-73,-36,10
"JO","Jordan","","","","",NA,"2020-05-21",0,40,-11,-73,-35,10
"JO","Jordan","","","","",NA,"2020-05-22",-91,-84,-74,-93,-59,21
"JO","Jordan","","","","",NA,"2020-05-23",-92,-86,-76,-93,-77,29
"JO","Jordan","","","","",NA,"2020-05-24",-91,-83,-74,-94,-82,33
"JO","Jordan","","","","",NA,"2020-05-25",-34,-5,-21,-80,-61,12
"JO","Jordan","","","","",NA,"2020-05-26",-29,-8,-24,-74,-31,10
"JO","Jordan","","","","",NA,"2020-05-27",-27,-7,-24,-74,-29,10
"JO","Jordan","","","","",NA,"2020-05-28",-26,0,-26,-74,-27,11
"JO","Jordan","","","","",NA,"2020-05-29",-91,-83,-73,-93,-57,21
"JO","Jordan","","","","",NA,"2020-05-30",-23,-2,-18,-78,-17,6
"JO","Jordan","","","","",NA,"2020-05-31",-25,-7,-18,-70,-25,9
"JO","Jordan","","","","",NA,"2020-06-01",-28,-8,-26,-70,-24,10
"JO","Jordan","","","","",NA,"2020-06-02",-29,-10,-26,-71,-25,10
"JO","Jordan","","","","",NA,"2020-06-03",-26,-5,-23,-70,-24,9
"JO","Jordan","","","","",NA,"2020-06-04",-28,-3,-27,-73,-23,11
"JO","Jordan","","","","",NA,"2020-06-05",-88,-79,-69,-92,-52,20
"JO","Jordan","","","","",NA,"2020-06-06",-2,13,0,-67,-11,1
"JO","Jordan","","","","",NA,"2020-06-07",-8,6,-6,-62,-21,5
"JO","Jordan","","","","",NA,"2020-06-08",-12,3,-12,-62,-20,5
"JO","Jordan","","","","",NA,"2020-06-09",-10,4,-7,-59,-19,4
"JO","Jordan","","","","",NA,"2020-06-10",-6,8,-2,-56,-18,4
"JO","Jordan","","","","",NA,"2020-06-11",-9,7,-5,-63,-17,6
"JO","Jordan","","","","",NA,"2020-06-12",-17,-5,4,-77,-7,4
"JO","Jordan","","","","",NA,"2020-06-13",-10,3,-1,-68,-10,3
"JO","Jordan","","","","",NA,"2020-06-14",-8,5,-3,-58,-19,5
"JO","Jordan","","","","",NA,"2020-06-15",-11,4,-7,-58,-17,5
"JO","Jordan","","","","",NA,"2020-06-16",-9,4,-4,-60,-17,5
"JO","Jordan","","","","",NA,"2020-06-17",-7,6,-2,-58,-17,4
"JO","Jordan","","","","",NA,"2020-06-18",-11,3,-5,-60,-16,6
"JO","Jordan","","","","",NA,"2020-06-19",-16,-4,8,-74,-7,3
"JO","Jordan","","","","",NA,"2020-06-20",-9,2,-1,-67,-9,3
"JO","Jordan","","","","",NA,"2020-06-21",-7,4,0,-57,-18,4
"JO","Jordan","","","","",NA,"2020-06-22",-7,7,-4,-55,-19,4
"JO","Jordan","","","","",NA,"2020-06-23",-6,7,-1,-55,-19,4
"JO","Jordan","","","","",NA,"2020-06-24",-4,9,1,-59,-17,3
"JO","Jordan","","","","",NA,"2020-06-25",-7,7,2,-59,-16,5
"JO","Jordan","","","","",NA,"2020-06-26",-11,2,20,-73,-6,1
"JO","Jordan","","","","",NA,"2020-06-27",-6,6,6,-65,-9,1
"JO","Jordan","","","","",NA,"2020-06-28",-6,6,2,-56,-16,4
"JO","Jordan","","","","",NA,"2020-06-29",-7,6,-2,-56,-17,4
"JO","Jordan","","","","",NA,"2020-06-30",-6,6,0,-54,-17,4
"JO","Jordan","","","","",NA,"2020-07-01",-3,10,6,-53,-16,3
"JO","Jordan","","","","",NA,"2020-07-02",-7,6,7,-55,-15,5
"JO","Jordan","","","","",NA,"2020-07-03",-10,2,27,-69,-9,2
"JO","Jordan","","","","",NA,"2020-07-04",-5,6,12,-62,-9,2
"JO","Jordan","","","","",NA,"2020-07-05",-5,7,7,-52,-18,4
"JO","Jordan","","","","",NA,"2020-07-06",-6,6,2,-53,-18,4
"JO","Jordan","","","","",NA,"2020-07-07",-4,7,9,-53,-18,3
"JO","Jordan","","","","",NA,"2020-07-08",-4,7,10,-53,-16,3
"JO","Jordan","","","","",NA,"2020-07-09",-7,5,12,-54,-15,4
"JO","Jordan","","","","",NA,"2020-07-10",-8,2,35,-68,-9,2
"JO","Jordan","","","","",NA,"2020-07-11",-6,5,13,-60,-9,2
"JO","Jordan","","","","",NA,"2020-07-12",-5,6,6,-53,-17,4
"JO","Jordan","","","","",NA,"2020-07-13",-7,5,2,-53,-17,4
"JO","Jordan","","","","",NA,"2020-07-14",-7,4,4,-51,-18,3
"JO","Jordan","","","","",NA,"2020-07-15",-6,5,7,-51,-16,3
"JO","Jordan","","","","",NA,"2020-07-16",-7,4,10,-53,-14,4
"JO","Jordan","","","","",NA,"2020-07-17",-7,3,32,-66,-9,2
"JO","Jordan","","","","",NA,"2020-07-18",-5,5,13,-59,-9,1
"JO","Jordan","","","","",NA,"2020-07-19",-6,5,4,-52,-17,4
"JO","Jordan","","","","",NA,"2020-07-20",-8,4,-1,-52,-17,4
"JO","Jordan","","","","",NA,"2020-07-21",-5,6,5,-52,-18,3
"JO","Jordan","","","","",NA,"2020-07-22",-5,6,4,-53,-16,4
"JO","Jordan","","","","",NA,"2020-07-23",-1,10,8,-53,-14,3
"JO","Jordan","","","","",NA,"2020-07-24",2,12,33,-65,-5,1
"JO","Jordan","","","","",NA,"2020-07-25",3,12,19,-57,-8,0
"JO","Jordan","","","","",NA,"2020-07-26",3,12,8,-52,-16,3
"JO","Jordan","","","","",NA,"2020-07-27",2,13,0,-52,-17,2
"JO","Jordan","","","","",NA,"2020-07-28",8,19,6,-49,-17,2
"JO","Jordan","","","","",NA,"2020-07-29",20,33,12,-49,-18,0
"JO","Jordan","","","","",NA,"2020-07-30",-5,16,-7,-71,-50,16
"JO","Jordan","","","","",NA,"2020-07-31",-6,20,42,-69,-14,-4
"JO","Jordan","","","","",NA,"2020-08-01",-12,-4,39,-72,-50,3
"JO","Jordan","","","","",NA,"2020-08-02",-6,0,37,-73,-62,9
"JO","Jordan","","","","",NA,"2020-08-03",-5,1,30,-70,-57,9
"JO","Jordan","","","","",NA,"2020-08-04",-6,5,13,-54,-20,4
"JO","Jordan","","","","",NA,"2020-08-05",-4,6,14,-56,-18,3
"JO","Jordan","","","","",NA,"2020-08-06",-7,4,15,-55,-17,4
"JO","Jordan","","","","",NA,"2020-08-07",-8,0,40,-69,-10,1
"JO","Jordan","","","","",NA,"2020-08-08",-5,3,17,-62,-11,1
"JO","Jordan","","","","",NA,"2020-08-09",-4,6,14,-51,-17,2
"JO","Jordan","","","","",NA,"2020-08-10",-6,5,11,-51,-18,3
"JO","Jordan","","","","",NA,"2020-08-11",-4,6,18,-50,-17,2
"JO","Jordan","","","","",NA,"2020-08-12",-1,9,20,-51,-15,2
"JO","Jordan","","","","",NA,"2020-08-13",-4,6,16,-52,-14,3
"JO","Jordan","","","","",NA,"2020-08-14",-7,2,35,-67,-9,2
"JO","Jordan","","","","",NA,"2020-08-15",-9,3,15,-61,-11,0
"JO","Jordan","","","","",NA,"2020-08-16",-6,7,9,-56,-16,2
"JO","Jordan","","","","",NA,"2020-08-17",-8,6,3,-52,-16,3
"JO","Jordan","","","","",NA,"2020-08-18",-6,7,8,-51,-14,3
"JO","Jordan","","","","",NA,"2020-08-19",-3,11,15,-52,-14,2
"JO","Jordan","","","","",NA,"2020-08-20",-14,0,16,-66,-43,11
"JO","Jordan","","","","",NA,"2020-08-21",-14,-1,33,-68,-10,2
"JO","Jordan","","","","",NA,"2020-08-22",-10,2,13,-62,-9,2
"JO","Jordan","","","","",NA,"2020-08-23",-6,9,9,-53,-14,3
"JO","Jordan","","","","",NA,"2020-08-24",-4,12,6,-52,-13,2
"JO","Jordan","","","","",NA,"2020-08-25",-4,13,7,-49,-12,2
"JO","Jordan","","","","",NA,"2020-08-26",-1,16,13,-49,-9,2
"JO","Jordan","","","","",NA,"2020-08-27",0,24,12,-53,-9,2
"JO","Jordan","","","","",NA,"2020-08-28",-70,-62,-35,-83,-50,17
"JO","Jordan","","","","",NA,"2020-08-29",-4,11,10,-61,-5,0
"JO","Jordan","","","","",NA,"2020-08-30",-4,12,4,-51,-11,2
"JO","Jordan","","","","",NA,"2020-08-31",-3,15,-3,-52,-12,3
"JO","Jordan","","","","",NA,"2020-09-01",-2,15,2,-51,-12,3
"JO","Jordan","","","","",NA,"2020-09-02",0,17,8,-52,-10,2
"JO","Jordan","","","","",NA,"2020-09-03",-2,21,2,-51,-9,3
"JO","Jordan","","","","",NA,"2020-09-04",-71,-63,-44,-85,-53,18
"JO","Jordan","","","","",NA,"2020-09-05",0,16,5,-62,-6,1
"JO","Jordan","","","","",NA,"2020-09-06",-2,16,4,-53,-11,4
"JO","Jordan","","","","",NA,"2020-09-07",-5,12,-6,-51,-12,4
"JO","Jordan","","","","",NA,"2020-09-08",-5,13,-1,-48,-12,4
"JO","Jordan","","","","",NA,"2020-09-09",-1,14,8,-45,-9,2
"JO","Jordan","","","","",NA,"2020-09-10",-4,9,9,-43,-8,3
"JO","Jordan","","","","",NA,"2020-09-11",-10,4,20,-63,-10,3
"JO","Jordan","","","","",NA,"2020-09-12",-1,13,13,-55,-6,1
"JO","Jordan","","","","",NA,"2020-09-13",-2,15,10,-46,-9,3
"JO","Jordan","","","","",NA,"2020-09-14",-5,11,-1,-45,-7,3
"JO","Jordan","","","","",NA,"2020-09-15",-4,11,3,-43,-7,4
"JO","Jordan","","","","",NA,"2020-09-16",0,12,11,-46,-7,3
"JO","Jordan","","","","",NA,"2020-09-17",-12,8,6,-44,-8,6
"JO","Jordan","","","","",NA,"2020-09-18",-22,0,12,-67,-14,6
"JO","Jordan","","","","",NA,"2020-09-19",-10,9,7,-59,-8,5
"JO","Jordan","","","","",NA,"2020-09-20",-11,9,5,-51,-10,6
"JO","Jordan","","","","",NA,"2020-09-21",-12,9,-3,-46,-13,6
"JO","Jordan","","","","",NA,"2020-09-22",-12,12,-2,-47,-13,6
"JO","Jordan","","","","",NA,"2020-09-23",-8,21,7,-46,-11,6
"JO","Jordan","","","","",NA,"2020-09-24",-7,23,10,-43,-9,6
"JO","Jordan","","","","",NA,"2020-09-25",-15,16,23,-63,-17,6
"JO","Jordan","","","","",NA,"2020-09-26",-6,22,12,-54,-8,4
"JO","Jordan","","","","",NA,"2020-09-27",-7,22,8,-45,-11,6
"JO","Jordan","","","","",NA,"2020-09-28",-10,20,-5,-43,-12,7
"JO","Jordan","","","","",NA,"2020-09-29",-10,20,-1,-45,-13,6
"JO","Jordan","","","","",NA,"2020-09-30",-7,26,7,-41,-12,4
"JO","Jordan","","","","",NA,"2020-10-01",-9,21,5,-43,-11,4
"JO","Jordan","","","","",NA,"2020-10-02",-13,19,25,-59,-16,3
"JO","Jordan","","","","",NA,"2020-10-03",-6,22,11,-51,-10,3
"JO","Jordan","","","","",NA,"2020-10-04",-3,26,10,-43,-13,4
"JO","Jordan","","","","",NA,"2020-10-05",-8,22,-3,-43,-15,4
"JO","Jordan","","","","",NA,"2020-10-06",-4,27,1,-41,-14,4
"JO","Jordan","","","","",NA,"2020-10-07",3,41,11,-39,-12,3
"JO","Jordan","","","","",NA,"2020-10-08",3,50,8,-35,-10,4
"JO","Jordan","","","","",NA,"2020-10-09",-92,-87,-79,-81,-72,25
"JO","Jordan","","","","",NA,"2020-10-10",-92,-88,-80,-84,-83,34
"JO","Jordan","","","","",NA,"2020-10-11",0,29,11,-36,-11,4
"JO","Jordan","","","","",NA,"2020-10-12",-5,22,-2,-36,-14,6
"JO","Jordan","","","","",NA,"2020-10-13",-4,23,0,-36,-14,6
"JO","Jordan","","","","",NA,"2020-10-14",1,34,5,-41,-13,6
"JO","Jordan","","","","",NA,"2020-10-15",8,58,6,-36,-11,4
"JO","Jordan","","","","",NA,"2020-10-16",-92,-85,-80,-81,-72,25
"JO","Jordan","","","","",NA,"2020-10-17",-93,-88,-81,-84,-83,34
"JO","Jordan","","","","",NA,"2020-10-18",-1,32,3,-41,-12,3
"JO","Jordan","","","","",NA,"2020-10-19",-8,22,-12,-42,-14,7
"JO","Jordan","","","","",NA,"2020-10-20",-9,21,-7,-40,-15,7
"JO","Jordan","","","","",NA,"2020-10-21",-5,27,2,-43,-13,7
"JO","Jordan","","","","",NA,"2020-10-22",4,49,9,-38,-11,6
"JO","Jordan","","","","",NA,"2020-10-23",-90,-81,-74,-81,-71,24
"JO","Jordan","","","","",NA,"2020-10-24",-8,23,3,-55,-9,5
"JO","Jordan","","","","",NA,"2020-10-25",-6,27,4,-41,-14,7
"JO","Jordan","","","","",NA,"2020-10-26",-9,25,-7,-41,-16,8
"JO","Jordan","","","","",NA,"2020-10-27",-8,24,-3,-39,-16,8
"JO","Jordan","","","","",NA,"2020-10-28",-2,28,6,-40,-15,6
"JO","Jordan","","","","",NA,"2020-10-29",-4,31,6,-50,-45,12
"JO","Jordan","","","","",NA,"2020-10-30",-91,-83,-75,-80,-70,23
"JO","Jordan","","","","",NA,"2020-10-31",-9,19,0,-56,-9,4
"JO","Jordan","","","","",NA,"2020-11-01",-7,21,-5,-44,-15,8
"JO","Jordan","","","","",NA,"2020-11-02",-11,19,-16,-43,-18,9
"JO","Jordan","","","","",NA,"2020-11-03",-9,20,-14,-45,-19,9
"JO","Jordan","","","","",NA,"2020-11-04",-8,23,-9,-44,-18,9
"JO","Jordan","","","","",NA,"2020-11-05",-8,34,-16,-41,-18,11
"JO","Jordan","","","","",NA,"2020-11-06",-92,-84,-77,-82,-71,25
"JO","Jordan","","","","",NA,"2020-11-07",-9,21,-6,-54,-10,5
"JO","Jordan","","","","",NA,"2020-11-08",0,36,-1,-45,-17,8
"JO","Jordan","","","","",NA,"2020-11-09",6,52,-4,-36,-18,6
"JO","Jordan","","","","",NA,"2020-11-10",6,63,9,-41,-45,6
"JO","Jordan","","","","",NA,"2020-11-11",-92,-87,-78,-79,-85,36
"JO","Jordan","","","","",NA,"2020-11-12",-93,-87,-81,-80,-85,43
"JO","Jordan","","","","",NA,"2020-11-13",-91,-81,-75,-83,-69,25
"JO","Jordan","","","","",NA,"2020-11-14",-92,-85,-78,-83,-80,32
"JO","Jordan","","","","",NA,"2020-11-15",-6,26,-7,-46,-17,6
"JO","Jordan","","","","",NA,"2020-11-16",-13,16,-19,-48,-20,9
"JO","Jordan","","","","",NA,"2020-11-17",-15,13,-16,-46,-20,10
"JO","Jordan","","","","",NA,"2020-11-18",-14,15,-12,-47,-20,10
"JO","Jordan","","","","",NA,"2020-11-19",-10,31,-12,-46,-18,10
"JO","Jordan","","","","",NA,"2020-11-20",-91,-83,-76,-82,-70,25
"JO","Jordan","","","","",NA,"2020-11-21",-16,9,-16,-59,-14,7
"JO","Jordan","","","","",NA,"2020-11-22",-15,11,-14,-50,-18,10
"JO","Jordan","","","","",NA,"2020-11-23",-15,13,-22,-48,-21,10
"JO","Jordan","","","","",NA,"2020-11-24",-12,15,-19,-47,-21,10
"JO","Jordan","","","","",NA,"2020-11-25",-9,19,-13,-47,-19,9
"JO","Jordan","","","","",NA,"2020-11-26",-9,29,-23,-44,-19,11
"JO","Jordan","","","","",NA,"2020-11-27",-91,-82,-76,-82,-69,24
"JO","Jordan","","","","",NA,"2020-11-28",-9,16,-12,-58,-12,6
"JO","Jordan","","","","",NA,"2020-11-29",-11,15,-12,-46,-18,9
"JO","Jordan","","","","",NA,"2020-11-30",-13,13,-19,-45,-20,9
"JO","Jordan","","","","",NA,"2020-12-01",-13,15,-16,-41,-19,10
"JO","Jordan","","","","",NA,"2020-12-02",-11,19,-11,-43,-18,9
"JO","Jordan","","","","",NA,"2020-12-03",-7,31,-13,-43,-16,9
"JO","Jordan","","","","",NA,"2020-12-04",-91,-82,-75,-82,-69,24
"JO","Jordan","","","","",NA,"2020-12-05",-12,15,-15,-56,-12,6
"JO","Jordan","","","","",NA,"2020-12-06",-12,14,-11,-46,-17,9
"JO","Jordan","","","","",NA,"2020-12-07",-15,13,-19,-44,-19,9
"JO","Jordan","","","","",NA,"2020-12-08",-16,10,-18,-47,-18,10
"JO","Jordan","","","","",NA,"2020-12-09",-14,14,-12,-45,-18,9
"JO","Jordan","","","","",NA,"2020-12-10",-9,28,-10,-42,-17,9
"JO","Jordan","","","","",NA,"2020-12-11",-91,-81,-74,-80,-69,24
"JO","Jordan","","","","",NA,"2020-12-12",-11,16,-4,-55,-12,5
"JO","Jordan","","","","",NA,"2020-12-13",-13,13,-6,-45,-18,9
"JO","Jordan","","","","",NA,"2020-12-14",-18,10,-21,-45,-20,10
"JO","Jordan","","","","",NA,"2020-12-15",-19,9,-22,-46,-20,10
