"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-07",4,4,NA,NA,NA,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-09",NA,NA,NA,NA,0,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-10",NA,9,NA,NA,-1,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-11",NA,6,NA,NA,-1,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-12",-12,12,NA,NA,0,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-13",6,11,NA,NA,0,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-14",6,9,NA,NA,NA,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-16",NA,NA,NA,NA,-6,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-17",NA,NA,NA,NA,-11,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-18",NA,12,NA,NA,-7,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-19",-35,14,NA,NA,-15,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-20",-30,7,NA,NA,-15,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-21",-65,-2,NA,NA,NA,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-23",-54,-7,NA,NA,-33,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-24",-82,-32,NA,NA,-56,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-25",NA,-38,NA,NA,-61,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-26",-84,-33,NA,NA,-62,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-27",-85,-39,NA,NA,-61,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-28",NA,-49,NA,NA,NA,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-29",NA,-40,NA,NA,NA,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-30",NA,-39,NA,NA,-64,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-03-31",-84,-43,NA,NA,-63,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-01",NA,-40,NA,NA,-64,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-02",NA,-39,NA,NA,-66,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-03",-83,-35,NA,NA,-64,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-04",NA,-44,NA,NA,NA,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-05",NA,-40,NA,NA,NA,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-06",NA,NA,NA,NA,-62,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-07",NA,NA,NA,NA,-64,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-08",NA,NA,NA,NA,-62,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-09",NA,NA,NA,NA,-66,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-10",NA,NA,NA,NA,-64,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-13",NA,NA,NA,NA,-71,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-14",NA,NA,NA,NA,-67,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-15",NA,NA,NA,NA,-65,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-16",NA,NA,NA,NA,-65,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-17",NA,NA,NA,NA,-64,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-20",NA,NA,NA,NA,-55,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-21",NA,NA,NA,NA,-60,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-22",NA,NA,NA,NA,-60,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-23",NA,NA,NA,NA,-62,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-24",NA,NA,NA,NA,-58,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-27",NA,NA,NA,NA,-62,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-28",NA,NA,NA,NA,-61,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-29",NA,NA,NA,NA,-60,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-04-30",NA,NA,NA,NA,-61,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-01",NA,NA,NA,NA,-61,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-04",NA,NA,NA,NA,-59,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-05",NA,NA,NA,NA,-60,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-06",NA,NA,NA,NA,-60,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-07",NA,NA,NA,NA,-58,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-08",NA,NA,NA,NA,-66,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-11",NA,NA,NA,NA,-58,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-12",NA,NA,NA,NA,-59,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-13",NA,NA,NA,NA,-58,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-14",NA,NA,NA,NA,-58,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-15",NA,NA,NA,NA,-57,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-18",NA,NA,NA,NA,-56,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-19",NA,NA,NA,NA,-55,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-20",NA,NA,NA,NA,-55,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-21",NA,NA,NA,NA,-55,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-22",NA,NA,NA,NA,-53,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-25",NA,NA,NA,NA,-54,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-26",NA,NA,NA,NA,-51,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-27",NA,NA,NA,NA,-51,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-28",NA,NA,NA,NA,-51,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-05-29",NA,NA,NA,NA,-50,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-01",NA,NA,NA,NA,-49,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-02",NA,NA,NA,NA,-49,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-03",NA,NA,NA,NA,-52,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-04",NA,NA,NA,NA,-50,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-05",NA,NA,NA,NA,-52,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-08",NA,NA,NA,NA,-47,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-09",NA,NA,NA,NA,-51,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-10",NA,NA,NA,NA,-50,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-11",NA,NA,NA,NA,-48,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-12",NA,NA,NA,NA,-46,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-15",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-16",NA,NA,NA,NA,-46,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-17",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-18",NA,NA,NA,NA,-46,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-19",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-22",NA,NA,NA,NA,-47,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-23",NA,NA,NA,NA,-46,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-24",NA,NA,NA,NA,-42,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-25",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-26",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-29",NA,NA,NA,NA,-43,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-06-30",NA,NA,NA,NA,-37,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-01",NA,NA,NA,NA,-41,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-02",NA,NA,NA,NA,-46,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-03",NA,NA,NA,NA,-52,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-06",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-07",NA,NA,NA,NA,-45,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-08",NA,NA,NA,NA,-41,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-09",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-10",NA,NA,NA,NA,-41,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-13",NA,NA,NA,NA,-45,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-14",NA,NA,NA,NA,-45,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-15",NA,NA,NA,NA,-45,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-16",NA,NA,NA,NA,-42,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-17",NA,NA,NA,NA,-38,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-20",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-21",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-22",NA,NA,NA,NA,-42,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-23",NA,NA,NA,NA,-43,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-24",NA,NA,NA,NA,-41,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-27",NA,NA,NA,NA,-45,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-28",NA,NA,NA,NA,-47,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-29",NA,NA,NA,NA,-42,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-30",NA,NA,NA,NA,-42,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-07-31",NA,NA,NA,NA,-40,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-08-03",NA,NA,NA,NA,-42,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-08-04",NA,NA,NA,NA,-43,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-08-05",NA,NA,NA,NA,-42,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-08-06",NA,NA,NA,NA,-47,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-08-07",NA,NA,NA,NA,-42,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-08-10",NA,NA,NA,NA,-45,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-08-11",NA,NA,NA,NA,-38,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-08-12",NA,NA,NA,NA,-37,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-08-13",NA,NA,NA,NA,-36,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-08-14",NA,NA,NA,NA,-37,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-11",NA,NA,NA,NA,-23,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-14",NA,NA,NA,NA,-25,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-15",NA,NA,NA,NA,-28,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-16",NA,NA,NA,NA,-22,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-17",NA,NA,NA,NA,-24,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-18",NA,NA,NA,NA,-20,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-21",NA,NA,NA,NA,-26,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-22",NA,NA,NA,NA,-27,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-23",NA,NA,NA,NA,-23,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-24",NA,NA,NA,NA,-23,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-25",NA,NA,NA,NA,-21,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-28",NA,NA,NA,NA,-26,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-29",NA,NA,NA,NA,-26,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-09-30",NA,NA,NA,NA,-23,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-01",NA,NA,NA,NA,-22,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-02",NA,NA,NA,NA,-22,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-05",NA,NA,NA,NA,-21,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-06",NA,NA,NA,NA,-25,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-07",NA,NA,NA,NA,-19,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-08",NA,NA,NA,NA,-21,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-09",NA,NA,NA,NA,-21,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-12",NA,NA,NA,NA,-42,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-13",NA,NA,NA,NA,-41,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-14",NA,NA,NA,NA,-38,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-15",NA,NA,NA,NA,-39,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-16",NA,NA,NA,NA,-38,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-19",NA,NA,NA,NA,-41,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-20",NA,NA,NA,NA,-38,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-21",NA,NA,NA,NA,-40,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-22",NA,NA,NA,NA,-40,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-23",NA,NA,NA,NA,-40,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-26",NA,NA,NA,NA,-33,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-27",NA,NA,NA,NA,-29,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-28",NA,NA,NA,NA,-21,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-29",NA,NA,NA,NA,-23,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-10-30",NA,NA,NA,NA,-23,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-02",NA,NA,NA,NA,-21,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-03",NA,NA,NA,NA,-23,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-04",NA,NA,NA,NA,-20,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-05",NA,NA,NA,NA,-24,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-06",NA,NA,NA,NA,-18,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-09",NA,NA,NA,NA,-21,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-10",NA,NA,NA,NA,-20,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-11",NA,NA,NA,NA,-22,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-12",NA,NA,NA,NA,-22,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-13",NA,NA,NA,NA,-17,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-16",NA,NA,NA,NA,-25,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-17",NA,NA,NA,NA,-21,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-18",NA,NA,NA,NA,-19,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-19",NA,NA,NA,NA,-23,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-20",NA,NA,NA,NA,-18,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-23",NA,NA,NA,NA,-19,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-24",NA,NA,NA,NA,-20,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-25",NA,NA,NA,NA,-16,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-26",NA,NA,NA,NA,-18,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-27",NA,NA,NA,NA,-13,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-11-30",NA,NA,NA,NA,-16,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-01",NA,NA,NA,NA,-18,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-02",NA,NA,NA,NA,-18,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-03",NA,NA,NA,NA,-18,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-04",NA,NA,NA,NA,-16,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-07",NA,NA,NA,NA,-22,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-08",NA,NA,NA,NA,-19,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-09",NA,NA,NA,NA,-17,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-10",NA,NA,NA,NA,-20,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-11",NA,NA,NA,NA,-18,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-14",NA,NA,NA,NA,-20,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-15",NA,NA,NA,NA,-20,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-16",NA,NA,NA,NA,-17,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-17",NA,NA,NA,NA,-18,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-18",NA,NA,NA,NA,-12,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-21",NA,NA,NA,NA,-35,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-22",NA,NA,NA,NA,-36,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-23",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-24",NA,NA,NA,NA,-55,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-25",NA,NA,NA,-70,-80,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-28",NA,NA,NA,NA,-68,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-29",NA,NA,NA,NA,-56,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-30",NA,NA,NA,NA,-55,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2020-12-31",NA,NA,NA,NA,-60,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2021-01-01",NA,NA,NA,-72,-82,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2021-01-04",NA,NA,NA,NA,-63,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2021-01-05",NA,NA,NA,NA,-44,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2021-01-06",NA,NA,NA,NA,-31,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2021-01-07",NA,NA,NA,NA,-32,NA
"GB","United Kingdom","Orkney","","","GB_ORK",NA,"2021-01-08",NA,NA,NA,NA,-32,NA
