"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"GB","United Kingdom","","","","",NA,"2020-04-08",-73,-27,-14,-70,-70,27
"GB","United Kingdom","","","","",NA,"2020-04-09",-71,-20,-13,-70,-70,27
"GB","United Kingdom","","","","",NA,"2020-04-10",-78,-33,-18,-75,-80,32
"GB","United Kingdom","","","","",NA,"2020-04-11",-81,-32,-37,-70,-57,19
"GB","United Kingdom","","","","",NA,"2020-04-12",-89,-63,-33,-71,-58,16
"GB","United Kingdom","","","","",NA,"2020-04-13",-78,-41,-21,-78,-83,31
"GB","United Kingdom","","","","",NA,"2020-04-14",-71,-26,-10,-69,-70,27
"GB","United Kingdom","","","","",NA,"2020-04-15",-72,-27,-6,-69,-69,27
"GB","United Kingdom","","","","",NA,"2020-04-16",-73,-27,-7,-70,-69,28
"GB","United Kingdom","","","","",NA,"2020-04-17",-75,-30,-33,-71,-68,29
"GB","United Kingdom","","","","",NA,"2020-04-18",-81,-37,-47,-71,-54,19
"GB","United Kingdom","","","","",NA,"2020-04-19",-80,-40,-12,-66,-49,14
"GB","United Kingdom","","","","",NA,"2020-04-20",-71,-30,-2,-68,-67,25
"GB","United Kingdom","","","","",NA,"2020-04-21",-72,-28,2,-67,-67,26
"GB","United Kingdom","","","","",NA,"2020-04-22",-72,-28,1,-67,-66,27
"GB","United Kingdom","","","","",NA,"2020-04-23",-72,-27,6,-67,-66,27
"GB","United Kingdom","","","","",NA,"2020-04-24",-73,-26,-4,-66,-65,27
"GB","United Kingdom","","","","",NA,"2020-04-25",-78,-32,-23,-65,-51,18
"GB","United Kingdom","","","","",NA,"2020-04-26",-78,-37,-10,-64,-48,14
"GB","United Kingdom","","","","",NA,"2020-04-27",-69,-29,-3,-66,-65,25
"GB","United Kingdom","","","","",NA,"2020-04-28",-74,-33,-42,-71,-66,25
"GB","United Kingdom","","","","",NA,"2020-04-29",-73,-30,-31,-69,-66,27
"GB","United Kingdom","","","","",NA,"2020-04-30",-74,-28,-31,-69,-66,27
"GB","United Kingdom","","","","",NA,"2020-05-01",-74,-27,-22,-67,-64,27
"GB","United Kingdom","","","","",NA,"2020-05-02",-78,-30,-18,-63,-49,17
"GB","United Kingdom","","","","",NA,"2020-05-03",-79,-37,-21,-64,-46,14
"GB","United Kingdom","","","","",NA,"2020-05-04",-69,-27,4,-64,-64,24
"GB","United Kingdom","","","","",NA,"2020-05-05",-70,-25,4,-64,-64,25
"GB","United Kingdom","","","","",NA,"2020-05-06",-69,-22,16,-62,-63,25
"GB","United Kingdom","","","","",NA,"2020-05-07",-67,-15,16,-62,-63,25
"GB","United Kingdom","","","","",NA,"2020-05-08",-75,-28,14,-68,-77,30
"GB","United Kingdom","","","","",NA,"2020-05-09",-78,-29,-6,-62,-48,17
"GB","United Kingdom","","","","",NA,"2020-05-10",-80,-37,-38,-68,-45,14
"GB","United Kingdom","","","","",NA,"2020-05-11",-67,-25,-8,-64,-62,24
"GB","United Kingdom","","","","",NA,"2020-05-12",-68,-23,7,-62,-62,24
"GB","United Kingdom","","","","",NA,"2020-05-13",-68,-23,6,-62,-61,25
"GB","United Kingdom","","","","",NA,"2020-05-14",-67,-21,28,-61,-61,23
"GB","United Kingdom","","","","",NA,"2020-05-15",-69,-21,21,-60,-60,24
"GB","United Kingdom","","","","",NA,"2020-05-16",-74,-25,5,-58,-43,15
"GB","United Kingdom","","","","",NA,"2020-05-17",-74,-29,27,-55,-39,12
"GB","United Kingdom","","","","",NA,"2020-05-18",-63,-20,36,-59,-59,22
"GB","United Kingdom","","","","",NA,"2020-05-19",-64,-18,51,-57,-59,22
"GB","United Kingdom","","","","",NA,"2020-05-20",-64,-16,68,-56,-59,22
"GB","United Kingdom","","","","",NA,"2020-05-21",-64,-16,51,-58,-59,23
"GB","United Kingdom","","","","",NA,"2020-05-22",-66,-18,14,-59,-58,24
"GB","United Kingdom","","","","",NA,"2020-05-23",-72,-23,-12,-59,-41,15
"GB","United Kingdom","","","","",NA,"2020-05-24",-71,-25,38,-52,-36,11
"GB","United Kingdom","","","","",NA,"2020-05-25",-64,-23,136,-60,-77,24
"GB","United Kingdom","","","","",NA,"2020-05-26",-60,-14,66,-55,-59,21
"GB","United Kingdom","","","","",NA,"2020-05-27",-61,-15,65,-55,-58,22
"GB","United Kingdom","","","","",NA,"2020-05-28",-60,-12,77,-55,-58,22
"GB","United Kingdom","","","","",NA,"2020-05-29",-62,-12,67,-53,-56,22
"GB","United Kingdom","","","","",NA,"2020-05-30",-69,-16,48,-49,-31,12
"GB","United Kingdom","","","","",NA,"2020-05-31",-67,-19,67,-45,-26,9
"GB","United Kingdom","","","","",NA,"2020-06-01",-56,-13,74,-51,-53,19
"GB","United Kingdom","","","","",NA,"2020-06-02",-59,-15,78,-51,-54,19
"GB","United Kingdom","","","","",NA,"2020-06-03",-62,-19,0,-57,-54,22
"GB","United Kingdom","","","","",NA,"2020-06-04",-61,-17,19,-56,-54,22
"GB","United Kingdom","","","","",NA,"2020-06-05",-63,-17,9,-56,-53,22
"GB","United Kingdom","","","","",NA,"2020-06-06",-70,-22,-17,-57,-33,14
"GB","United Kingdom","","","","",NA,"2020-06-07",-67,-23,22,-51,-28,10
"GB","United Kingdom","","","","",NA,"2020-06-08",-56,-17,44,-54,-52,19
"GB","United Kingdom","","","","",NA,"2020-06-09",-58,-17,56,-53,-52,20
"GB","United Kingdom","","","","",NA,"2020-06-10",-61,-19,-1,-58,-52,21
"GB","United Kingdom","","","","",NA,"2020-06-11",-59,-17,15,-58,-52,21
"GB","United Kingdom","","","","",NA,"2020-06-12",-61,-17,6,-57,-51,21
"GB","United Kingdom","","","","",NA,"2020-06-13",-65,-17,41,-49,-24,11
"GB","United Kingdom","","","","",NA,"2020-06-14",-63,-20,65,-46,-19,8
"GB","United Kingdom","","","","",NA,"2020-06-15",-46,-14,63,-50,-50,18
"GB","United Kingdom","","","","",NA,"2020-06-16",-50,-13,53,-51,-50,19
"GB","United Kingdom","","","","",NA,"2020-06-17",-52,-14,34,-52,-50,19
"GB","United Kingdom","","","","",NA,"2020-06-18",-54,-15,8,-56,-52,20
"GB","United Kingdom","","","","",NA,"2020-06-19",-53,-11,20,-52,-50,19
"GB","United Kingdom","","","","",NA,"2020-06-20",-57,-10,49,-43,-20,9
"GB","United Kingdom","","","","",NA,"2020-06-21",-58,-17,37,-44,-14,7
"GB","United Kingdom","","","","",NA,"2020-06-22",-45,-13,72,-49,-51,17
"GB","United Kingdom","","","","",NA,"2020-06-23",-48,-10,90,-48,-51,17
"GB","United Kingdom","","","","",NA,"2020-06-24",-49,-8,98,-47,-49,17
"GB","United Kingdom","","","","",NA,"2020-06-25",-49,-6,102,-47,-49,17
"GB","United Kingdom","","","","",NA,"2020-06-26",-51,-9,50,-48,-49,18
"GB","United Kingdom","","","","",NA,"2020-06-27",-59,-15,-7,-49,-24,11
"GB","United Kingdom","","","","",NA,"2020-06-28",-56,-19,22,-46,-17,8
"GB","United Kingdom","","","","",NA,"2020-06-29",-45,-14,22,-50,-49,17
"GB","United Kingdom","","","","",NA,"2020-06-30",-45,-12,34,-50,-48,17
"GB","United Kingdom","","","","",NA,"2020-07-01",-47,-13,34,-49,-48,17
"GB","United Kingdom","","","","",NA,"2020-07-02",-47,-11,39,-49,-48,17
"GB","United Kingdom","","","","",NA,"2020-07-03",-49,-12,20,-49,-47,18
"GB","United Kingdom","","","","",NA,"2020-07-04",-51,-15,13,-41,-18,8
"GB","United Kingdom","","","","",NA,"2020-07-05",-48,-18,53,-37,-14,6
"GB","United Kingdom","","","","",NA,"2020-07-06",-36,-11,76,-43,-48,14
"GB","United Kingdom","","","","",NA,"2020-07-07",-40,-12,52,-45,-48,16
"GB","United Kingdom","","","","",NA,"2020-07-08",-42,-14,29,-47,-47,16
"GB","United Kingdom","","","","",NA,"2020-07-09",-42,-12,38,-46,-47,16
"GB","United Kingdom","","","","",NA,"2020-07-10",-41,-10,67,-40,-46,14
"GB","United Kingdom","","","","",NA,"2020-07-11",-47,-12,69,-32,-14,6
"GB","United Kingdom","","","","",NA,"2020-07-12",-43,-15,103,-27,-10,3
"GB","United Kingdom","","","","",NA,"2020-07-13",-35,-11,71,-42,-48,14
"GB","United Kingdom","","","","",NA,"2020-07-14",-36,-11,73,-43,-48,15
"GB","United Kingdom","","","","",NA,"2020-07-15",-33,-13,52,-47,-46,15
"GB","United Kingdom","","","","",NA,"2020-07-16",-31,-10,85,-45,-45,14
"GB","United Kingdom","","","","",NA,"2020-07-17",-33,-10,93,-41,-44,13
"GB","United Kingdom","","","","",NA,"2020-07-18",-40,-13,61,-35,-14,5
"GB","United Kingdom","","","","",NA,"2020-07-19",-35,-16,78,-32,-10,3
"GB","United Kingdom","","","","",NA,"2020-07-20",-25,-9,114,-42,-48,13
"GB","United Kingdom","","","","",NA,"2020-07-21",-28,-10,116,-43,-48,13
"GB","United Kingdom","","","","",NA,"2020-07-22",-29,-11,89,-44,-46,14
"GB","United Kingdom","","","","",NA,"2020-07-23",-30,-9,81,-45,-47,14
"GB","United Kingdom","","","","",NA,"2020-07-24",-32,-12,95,-40,-46,13
"GB","United Kingdom","","","","",NA,"2020-07-25",-40,-16,25,-37,-15,6
"GB","United Kingdom","","","","",NA,"2020-07-26",-33,-17,78,-30,-9,3
"GB","United Kingdom","","","","",NA,"2020-07-27",-29,-14,40,-46,-51,14
"GB","United Kingdom","","","","",NA,"2020-07-28",-26,-10,100,-42,-48,14
"GB","United Kingdom","","","","",NA,"2020-07-29",-25,-10,107,-41,-48,13
"GB","United Kingdom","","","","",NA,"2020-07-30",-23,-7,120,-41,-48,13
"GB","United Kingdom","","","","",NA,"2020-07-31",-29,-11,120,-37,-48,11
"GB","United Kingdom","","","","",NA,"2020-08-01",-36,-14,72,-30,-14,4
"GB","United Kingdom","","","","",NA,"2020-08-02",-28,-15,93,-27,-9,2
"GB","United Kingdom","","","","",NA,"2020-08-03",-15,-11,115,-39,-49,11
"GB","United Kingdom","","","","",NA,"2020-08-04",-19,-13,89,-42,-49,13
"GB","United Kingdom","","","","",NA,"2020-08-05",-16,-13,86,-43,-48,13
"GB","United Kingdom","","","","",NA,"2020-08-06",-23,-10,120,-42,-48,12
"GB","United Kingdom","","","","",NA,"2020-08-07",-28,-12,114,-39,-48,11
"GB","United Kingdom","","","","",NA,"2020-08-08",-35,-14,92,-31,-13,3
"GB","United Kingdom","","","","",NA,"2020-08-09",-28,-15,103,-27,-8,1
"GB","United Kingdom","","","","",NA,"2020-08-10",-11,-11,118,-40,-48,11
"GB","United Kingdom","","","","",NA,"2020-08-11",-13,-11,118,-41,-48,12
"GB","United Kingdom","","","","",NA,"2020-08-12",-14,-11,100,-42,-47,12
"GB","United Kingdom","","","","",NA,"2020-08-13",-24,-10,89,-43,-48,13
"GB","United Kingdom","","","","",NA,"2020-08-14",-26,-12,76,-39,-46,12
"GB","United Kingdom","","","","",NA,"2020-08-15",-33,-15,50,-33,-13,4
"GB","United Kingdom","","","","",NA,"2020-08-16",-29,-18,52,-32,-10,3
"GB","United Kingdom","","","","",NA,"2020-08-17",-9,-14,80,-41,-48,11
"GB","United Kingdom","","","","",NA,"2020-08-18",-11,-13,93,-41,-46,12
"GB","United Kingdom","","","","",NA,"2020-08-19",-15,-17,39,-44,-46,13
"GB","United Kingdom","","","","",NA,"2020-08-20",-19,-10,121,-40,-46,11
"GB","United Kingdom","","","","",NA,"2020-08-21",-26,-13,56,-40,-45,12
"GB","United Kingdom","","","","",NA,"2020-08-22",-31,-15,53,-32,-11,4
"GB","United Kingdom","","","","",NA,"2020-08-23",-26,-17,64,-29,-7,2
"GB","United Kingdom","","","","",NA,"2020-08-24",-3,-12,105,-38,-46,10
"GB","United Kingdom","","","","",NA,"2020-08-25",-13,-16,31,-45,-47,13
"GB","United Kingdom","","","","",NA,"2020-08-26",-3,-11,90,-38,-44,11
"GB","United Kingdom","","","","",NA,"2020-08-27",-21,-12,55,-42,-45,12
"GB","United Kingdom","","","","",NA,"2020-08-28",-20,-9,51,-37,-45,11
"GB","United Kingdom","","","","",NA,"2020-08-29",-27,-13,49,-29,-12,3
"GB","United Kingdom","","","","",NA,"2020-08-30",-15,-14,94,-23,-7,1
"GB","United Kingdom","","","","",NA,"2020-08-31",3,-17,152,-43,-68,14
"GB","United Kingdom","","","","",NA,"2020-09-01",-15,-6,94,-37,-44,10
"GB","United Kingdom","","","","",NA,"2020-09-02",-20,-11,48,-41,-42,11
"GB","United Kingdom","","","","",NA,"2020-09-03",-20,-10,58,-40,-42,11
"GB","United Kingdom","","","","",NA,"2020-09-04",-21,-10,61,-35,-40,9
"GB","United Kingdom","","","","",NA,"2020-09-05",-26,-12,56,-30,-10,3
"GB","United Kingdom","","","","",NA,"2020-09-06",-21,-12,69,-27,-7,2
"GB","United Kingdom","","","","",NA,"2020-09-07",-17,-10,58,-36,-43,9
"GB","United Kingdom","","","","",NA,"2020-09-08",-19,-10,74,-35,-42,9
"GB","United Kingdom","","","","",NA,"2020-09-09",-20,-11,67,-36,-39,9
"GB","United Kingdom","","","","",NA,"2020-09-10",-20,-9,78,-36,-40,9
"GB","United Kingdom","","","","",NA,"2020-09-11",-22,-9,62,-32,-38,8
"GB","United Kingdom","","","","",NA,"2020-09-12",-27,-11,61,-28,-9,3
"GB","United Kingdom","","","","",NA,"2020-09-13",-21,-12,94,-24,-7,1
"GB","United Kingdom","","","","",NA,"2020-09-14",-17,-9,104,-32,-36,8
"GB","United Kingdom","","","","",NA,"2020-09-15",-19,-9,91,-34,-36,9
"GB","United Kingdom","","","","",NA,"2020-09-16",-21,-11,71,-35,-36,9
"GB","United Kingdom","","","","",NA,"2020-09-17",-20,-9,88,-35,-36,9
"GB","United Kingdom","","","","",NA,"2020-09-18",-22,-9,75,-32,-35,8
"GB","United Kingdom","","","","",NA,"2020-09-19",-27,-11,67,-29,-10,3
"GB","United Kingdom","","","","",NA,"2020-09-20",-22,-12,85,-26,-7,2
"GB","United Kingdom","","","","",NA,"2020-09-21",-17,-8,86,-34,-37,8
"GB","United Kingdom","","","","",NA,"2020-09-22",-22,-9,64,-36,-36,9
"GB","United Kingdom","","","","",NA,"2020-09-23",-27,-11,20,-40,-35,11
"GB","United Kingdom","","","","",NA,"2020-09-24",-26,-9,28,-41,-35,11
"GB","United Kingdom","","","","",NA,"2020-09-25",-25,-7,29,-37,-34,10
"GB","United Kingdom","","","","",NA,"2020-09-26",-28,-10,28,-34,-9,5
"GB","United Kingdom","","","","",NA,"2020-09-27",-25,-13,45,-32,-7,3
"GB","United Kingdom","","","","",NA,"2020-09-28",-19,-8,45,-38,-35,10
"GB","United Kingdom","","","","",NA,"2020-09-29",-22,-8,47,-38,-34,10
"GB","United Kingdom","","","","",NA,"2020-09-30",-26,-11,4,-40,-34,11
"GB","United Kingdom","","","","",NA,"2020-10-01",-23,-6,36,-39,-32,10
"GB","United Kingdom","","","","",NA,"2020-10-02",-30,-10,4,-37,-32,11
"GB","United Kingdom","","","","",NA,"2020-10-03",-34,-12,-20,-40,-12,7
"GB","United Kingdom","","","","",NA,"2020-10-04",-31,-15,-4,-38,-9,5
"GB","United Kingdom","","","","",NA,"2020-10-05",-24,-10,23,-37,-34,10
"GB","United Kingdom","","","","",NA,"2020-10-06",-26,-9,20,-38,-34,10
"GB","United Kingdom","","","","",NA,"2020-10-07",-24,-9,31,-38,-32,10
"GB","United Kingdom","","","","",NA,"2020-10-08",-27,-9,21,-41,-33,11
"GB","United Kingdom","","","","",NA,"2020-10-09",-28,-8,19,-37,-31,10
"GB","United Kingdom","","","","",NA,"2020-10-10",-31,-10,14,-37,-8,6
"GB","United Kingdom","","","","",NA,"2020-10-11",-27,-13,49,-33,-6,4
"GB","United Kingdom","","","","",NA,"2020-10-12",-27,-12,9,-40,-35,11
"GB","United Kingdom","","","","",NA,"2020-10-13",-29,-11,14,-41,-35,11
"GB","United Kingdom","","","","",NA,"2020-10-14",-27,-9,23,-40,-33,11
"GB","United Kingdom","","","","",NA,"2020-10-15",-27,-7,29,-40,-33,11
"GB","United Kingdom","","","","",NA,"2020-10-16",-27,-6,25,-37,-32,11
"GB","United Kingdom","","","","",NA,"2020-10-17",-33,-9,18,-40,-10,7
"GB","United Kingdom","","","","",NA,"2020-10-18",-30,-13,36,-38,-9,5
"GB","United Kingdom","","","","",NA,"2020-10-19",-26,-10,27,-41,-35,11
"GB","United Kingdom","","","","",NA,"2020-10-20",-28,-9,28,-41,-35,12
"GB","United Kingdom","","","","",NA,"2020-10-21",-31,-11,-2,-44,-35,13
"GB","United Kingdom","","","","",NA,"2020-10-22",-26,-6,34,-42,-34,12
"GB","United Kingdom","","","","",NA,"2020-10-23",-28,-6,19,-41,-35,12
"GB","United Kingdom","","","","",NA,"2020-10-24",-38,-12,-10,-44,-13,8
"GB","United Kingdom","","","","",NA,"2020-10-25",-29,-10,32,-39,-10,5
"GB","United Kingdom","","","","",NA,"2020-10-26",-21,-9,42,-44,-45,13
"GB","United Kingdom","","","","",NA,"2020-10-27",-27,-10,10,-47,-45,14
"GB","United Kingdom","","","","",NA,"2020-10-28",-23,-8,27,-45,-43,14
"GB","United Kingdom","","","","",NA,"2020-10-29",-27,-9,4,-48,-44,15
"GB","United Kingdom","","","","",NA,"2020-10-30",-26,-5,25,-43,-42,13
"GB","United Kingdom","","","","",NA,"2020-10-31",-38,-9,-15,-44,-13,8
"GB","United Kingdom","","","","",NA,"2020-11-01",-29,-13,-4,-40,-10,5
"GB","United Kingdom","","","","",NA,"2020-11-02",-17,-7,8,-40,-34,11
"GB","United Kingdom","","","","",NA,"2020-11-03",-17,-6,6,-39,-33,11
"GB","United Kingdom","","","","",NA,"2020-11-04",-11,-4,19,-36,-31,10
"GB","United Kingdom","","","","",NA,"2020-11-05",-54,-14,8,-52,-38,16
"GB","United Kingdom","","","","",NA,"2020-11-06",-55,-12,5,-52,-38,17
"GB","United Kingdom","","","","",NA,"2020-11-07",-60,-16,13,-58,-28,13
"GB","United Kingdom","","","","",NA,"2020-11-08",-60,-20,5,-57,-28,10
"GB","United Kingdom","","","","",NA,"2020-11-09",-47,-15,5,-50,-39,15
"GB","United Kingdom","","","","",NA,"2020-11-10",-48,-13,14,-49,-39,15
"GB","United Kingdom","","","","",NA,"2020-11-11",-49,-14,-1,-51,-38,16
"GB","United Kingdom","","","","",NA,"2020-11-12",-48,-10,19,-50,-39,16
"GB","United Kingdom","","","","",NA,"2020-11-13",-49,-8,7,-50,-38,16
"GB","United Kingdom","","","","",NA,"2020-11-14",-59,-16,-29,-59,-28,13
"GB","United Kingdom","","","","",NA,"2020-11-15",-57,-19,-5,-57,-28,10
"GB","United Kingdom","","","","",NA,"2020-11-16",-46,-14,2,-50,-39,15
"GB","United Kingdom","","","","",NA,"2020-11-17",-48,-12,6,-50,-39,15
"GB","United Kingdom","","","","",NA,"2020-11-18",-49,-13,-7,-51,-38,16
"GB","United Kingdom","","","","",NA,"2020-11-19",-48,-10,6,-51,-39,16
"GB","United Kingdom","","","","",NA,"2020-11-20",-50,-8,-17,-51,-38,17
"GB","United Kingdom","","","","",NA,"2020-11-21",-56,-12,-8,-56,-26,12
"GB","United Kingdom","","","","",NA,"2020-11-22",-53,-15,25,-53,-26,9
"GB","United Kingdom","","","","",NA,"2020-11-23",-44,-12,4,-50,-39,15
"GB","United Kingdom","","","","",NA,"2020-11-24",-47,-10,3,-50,-38,15
"GB","United Kingdom","","","","",NA,"2020-11-25",-47,-12,-5,-51,-37,16
"GB","United Kingdom","","","","",NA,"2020-11-26",-46,-9,10,-51,-37,15
"GB","United Kingdom","","","","",NA,"2020-11-27",-47,-7,-2,-50,-38,16
"GB","United Kingdom","","","","",NA,"2020-11-28",-55,-12,-11,-55,-24,12
"GB","United Kingdom","","","","",NA,"2020-11-29",-53,-15,5,-54,-24,9
"GB","United Kingdom","","","","",NA,"2020-11-30",-41,-9,-9,-49,-37,14
"GB","United Kingdom","","","","",NA,"2020-12-01",-43,-7,7,-48,-36,14
"GB","United Kingdom","","","","",NA,"2020-12-02",-31,-6,-7,-45,-32,13
"GB","United Kingdom","","","","",NA,"2020-12-03",-34,-8,-20,-46,-33,14
"GB","United Kingdom","","","","",NA,"2020-12-04",-35,-5,-18,-44,-33,14
"GB","United Kingdom","","","","",NA,"2020-12-05",-36,-6,-8,-41,-13,8
"GB","United Kingdom","","","","",NA,"2020-12-06",-36,-10,1,-41,-13,7
"GB","United Kingdom","","","","",NA,"2020-12-07",-26,-5,-4,-43,-34,12
"GB","United Kingdom","","","","",NA,"2020-12-08",-31,-5,-7,-44,-33,12
"GB","United Kingdom","","","","",NA,"2020-12-09",-31,-5,-5,-44,-32,13
"GB","United Kingdom","","","","",NA,"2020-12-10",-32,-3,-1,-44,-33,13
"GB","United Kingdom","","","","",NA,"2020-12-11",-33,-2,-5,-41,-32,13
"GB","United Kingdom","","","","",NA,"2020-12-12",-37,-5,-5,-39,-12,8
"GB","United Kingdom","","","","",NA,"2020-12-13",-41,-13,-31,-45,-14,8
"GB","United Kingdom","","","","",NA,"2020-12-14",-25,-2,2,-42,-35,12
"GB","United Kingdom","","","","",NA,"2020-12-15",-25,0,10,-41,-34,12
