"iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"PER","South America","Peru","2020-03-06",1,1,NA,NA,NA,NA,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,74,0.002,0.002,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,13.89,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
"PER","South America","Peru","2020-03-07",1,0,NA,NA,NA,NA,0.03,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,151,0.005,0.002,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,13.89,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
"PER","South America","Peru","2020-03-08",6,5,NA,NA,NA,NA,0.182,0.152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,250,0.008,0.003,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,13.89,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
"PER","South America","Peru","2020-03-09",7,1,NA,NA,NA,NA,0.212,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242,492,0.015,0.007,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,13.89,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
"PER","South America","Peru","2020-03-10",11,4,NA,NA,NA,NA,0.334,0.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381,873,0.026,0.012,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,13.89,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
"PER","South America","Peru","2020-03-11",11,0,1.571,NA,NA,0,0.334,0,0.048,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,416,1289,0.039,0.013,NA,NA,NA,NA,"tests performed",NA,NA,NA,NA,NA,16.67,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
"PER","South America","Peru","2020-03-12",15,4,2.143,NA,NA,0,0.455,0.121,0.065,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,502,1791,0.054,0.015,NA,NA,0.036,27.8,"tests performed",NA,NA,NA,NA,NA,44.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
"PER","South America","Peru","2020-03-13",28,13,3.857,NA,NA,0,0.849,0.394,0.117,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,477,2268,0.069,0.014,313,0.009,0.039,25.6,"tests performed",NA,NA,NA,NA,NA,44.44,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
"PER","South America","Peru","2020-03-14",38,10,5.286,NA,NA,0,1.152,0.303,0.16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,415,2683,0.081,0.013,362,0.011,0.04,25,"tests performed",NA,NA,NA,NA,NA,50,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
"PER","South America","Peru","2020-03-15",43,5,5.286,NA,NA,0,1.304,0.152,0.16,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,3013,0.091,0.01,395,0.012,0.047,21.3,"tests performed",NA,NA,NA,NA,NA,74.07,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,NA,NA,1.6,76.74,0.75
