"Date","CountryName","RegionName","PredictedDailyNewCases","PredictedDailyNewDeaths","avgcases7days_delta","avgdeaths7days_delta","DeathsFromIFR"
2020-01-01,"United States","Minnesota",0,0,0,0,0
2020-01-02,"United States","Minnesota",0,0,NA,NA,0
2020-01-03,"United States","Minnesota",0,0,NA,NA,0
2020-01-04,"United States","Minnesota",0,0,NA,NA,0
2020-01-05,"United States","Minnesota",0,0,NA,NA,0
2020-01-06,"United States","Minnesota",0,0,NA,NA,0
2020-01-07,"United States","Minnesota",0,0,NA,NA,0
2020-01-08,"United States","Minnesota",0,0,NA,NA,0
2020-01-09,"United States","Minnesota",0,0,NA,NA,0
2020-01-10,"United States","Minnesota",0,0,NA,NA,0
2020-01-11,"United States","Minnesota",0,0,NA,NA,0
2020-01-12,"United States","Minnesota",0,0,NA,NA,0
2020-01-13,"United States","Minnesota",0,0,NA,NA,0
2020-01-14,"United States","Minnesota",0,0,NA,NA,0
2020-01-15,"United States","Minnesota",0,0,NA,NA,0
2020-01-16,"United States","Minnesota",0,0,NA,NA,0
2020-01-17,"United States","Minnesota",0,0,NA,NA,0
2020-01-18,"United States","Minnesota",0,0,NA,NA,0
2020-01-19,"United States","Minnesota",0,0,NA,NA,0
2020-01-20,"United States","Minnesota",0,0,NA,NA,0
2020-01-21,"United States","Minnesota",0,0,NA,NA,0
2020-01-22,"United States","Minnesota",0,0,NA,NA,0
2020-01-23,"United States","Minnesota",0,0,NA,NA,0
2020-01-24,"United States","Minnesota",0,0,NA,NA,0
2020-01-25,"United States","Minnesota",0,0,NA,NA,0
2020-01-26,"United States","Minnesota",0,0,NA,NA,0
2020-01-27,"United States","Minnesota",0,0,NA,NA,0
2020-01-28,"United States","Minnesota",0,0,NA,NA,0
2020-01-29,"United States","Minnesota",0,0,NA,NA,0
2020-01-30,"United States","Minnesota",0,0,0,0,0
2020-01-31,"United States","Minnesota",0,0,0,0,0
2020-02-01,"United States","Minnesota",0,0,0,0,0
2020-02-02,"United States","Minnesota",0,0,0,0,0
2020-02-03,"United States","Minnesota",0,0,0,0,0
2020-02-04,"United States","Minnesota",0,0,0,0,0
2020-02-05,"United States","Minnesota",0,0,0,0,0
2020-02-06,"United States","Minnesota",0,0,0,0,0
2020-02-07,"United States","Minnesota",0,0,0,0,0
2020-02-08,"United States","Minnesota",0,0,0,0,0
2020-02-09,"United States","Minnesota",0,0,0,0,0
2020-02-10,"United States","Minnesota",0,0,0,0,0
2020-02-11,"United States","Minnesota",0,0,0,0,0
2020-02-12,"United States","Minnesota",0,0,0,0,0
2020-02-13,"United States","Minnesota",0,0,0,0,0
2020-02-14,"United States","Minnesota",0,0,0,0,0
2020-02-15,"United States","Minnesota",0,0,0,0,0
2020-02-16,"United States","Minnesota",0,0,0,0,0
2020-02-17,"United States","Minnesota",0,0,0,0,0
2020-02-18,"United States","Minnesota",0,0,0,0,0
2020-02-19,"United States","Minnesota",0,0,0,0,0
2020-02-20,"United States","Minnesota",0,0,0,0,0
2020-02-21,"United States","Minnesota",0,0,0,0,0
2020-02-22,"United States","Minnesota",0,0,0,0,0
2020-02-23,"United States","Minnesota",0,0,0,0,0
2020-02-24,"United States","Minnesota",0,0,0,0,0
2020-02-25,"United States","Minnesota",0,0,0,0,0
2020-02-26,"United States","Minnesota",0,0,0,0,0
2020-02-27,"United States","Minnesota",0,0,0,0,0
2020-02-28,"United States","Minnesota",0,0,0,0,0
2020-02-29,"United States","Minnesota",0,0,0,0,0
2020-03-01,"United States","Minnesota",0,0,0,0,0
2020-03-02,"United States","Minnesota",0,0,0,0,0
2020-03-03,"United States","Minnesota",0,0,0,0,0
2020-03-04,"United States","Minnesota",0,0,0,0,0
2020-03-05,"United States","Minnesota",0,0,0,0,0
2020-03-06,"United States","Minnesota",0.142857142857143,0,0.142857142857143,0,0.0016195764924995
2020-03-07,"United States","Minnesota",0.142857142857143,0,0,0,0.0016195764924995
2020-03-08,"United States","Minnesota",0.142857142857143,0,0,0,0.0016195764924995
2020-03-09,"United States","Minnesota",0.285714285714286,0,0.142857142857143,0,0.00323915298499899
2020-03-10,"United States","Minnesota",0.285714285714286,0,0,0,0.00323915298499899
2020-03-11,"United States","Minnesota",0.714285714285714,0,0.428571428571429,0,0.00809788246249747
2020-03-12,"United States","Minnesota",1.28571428571429,0,0.571428571428572,0,0.0145761884324955
2020-03-13,"United States","Minnesota",1.85714285714286,0,0.571428571428571,0,0.0210544944024935
2020-03-14,"United States","Minnesota",2.85714285714286,0,1,0,0.0323915298499899
2020-03-15,"United States","Minnesota",2.85714285714286,0,0,0,0.0323915298499899
2020-03-16,"United States","Minnesota",7.28571428571429,0,4.42857142857143,0,0.0825984011174743
2020-03-17,"United States","Minnesota",8.14285714285714,0,0.857142857142857,0,0.0923158600724712
2020-03-18,"United States","Minnesota",10.2857142857143,0,2.14285714285714,0,0.116609507459964
